,name,price,image_url,description,size,brand,rating,review
117,Kipsta Agility 100 Hg Sr S118 Bla,"KSh 4,250",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/30/4725681/1.jpg?7598,Affordable to everyone.Superior quality productsEquipment range caters to all levels of competencySport For All.,EU 39 | EU 40 | EU 41 | EU 42 | EU 44 | EU 45 | EU 46 | EU 47,Kipsta,0 out of 5,
118,Climax Fishing Line 0.15MM 3.5LBS 100 YARDS,KSh 500,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/233585/1.jpg?0820,Good breaking strain and knot strength . Suitable for fresh and salt water. Transparent nearly visible in water Gauge 0.15 MM weighing 3.5 lbs and length of 100 YDS,,Climax,5 out of 5,
119,Gilbert Rugby Ball Size 5,"KSh 3,135",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/30/627533/1.jpg?1837,"Size 3
  (Mini size) The 3-ply laminate, trims and cotton ball increases energy
  transfer between the trunk and so you can train for greatness. - Tri Grip
  technology - Hydratec - 3 layers, trims and laminated Cotton, durable rubber
  surface, hand-stitchedAlong with this, the durable rubber surface ensures players can be confident when maneuvering the ball to their teammates.Rugby Ball Size 5",,Gilbert,0 out of 5,
120,Oraimo FreePods 3C ENC Calling Noise Cancellation Long Playtime True Wireless Earbuds,"KSh 3,450",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/0770051/1.jpg?6341,"In-ear & Half-in-ear Dual Modes5 EQ Modes and More4-mic ENC TechnologyIncredibly Powerful Bass36-hour Long Battery TimeCharge 10 Minutes, Play 140 MinutesLow-latency Game ModeIPX5 Waterproof & Sweat ProtectionIntuitive Force Sensor",,Oraimo,4.1 out of 5,Exactly what i ordered....amazing product | Amazing | It's already losing sound effect and the magnets don't work. It's been 2 days
121,Qwen 128GB Memory Cards High Speed -Blue,"KSh 1,199",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/45/5399861/1.jpg?6805,"Quickly transfer your multimedia transfer speedCapaity:  128GB capacity (Actual capacity：118G)High-resolution photos, music storage and other excellent speed and performance.Applicable device:smart phonessurveillance camerasMP3;MP4",128gb,Qwen,4 out of 5,Working perfectly | Best quality  | very good 
122,"Kxd A09 - 6.6'' 128GB ROM, Upto 8GB RAM (4GB RAM+4GB Virtual RAM), 13MP Triple Camera - Black","KSh 10,799",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/4840412/1.jpg?0567,"NETWORK Technology: GSM / HSPA / LTESIM: Dual SIM Size: 6.6inchesPLATFORM: OS Android Internal: 128GB (4GB RAM + 4GB Virtual RAM)MAIN CAMERA: 13MPWLAN: Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi DirectBluetooth: 5.2BATTERY: Type Li-Po 4000 mAh, non-removable",,Kxd,0 out of 5,
123,"SIMI S502 - 5.""  HD + 1GB And 16GB.","KSh 4,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/32/1721801/1.jpg?6787,"wireless FM servicecamera,Mp3 and Mp4 player BluetoothGPS, Finger print indication and sensor , light sensor and a G sensor. Battery capacity of 2750MAHMemory of 1GB(RAM) and 16GB(ROM)1.3GHZ dual core CPU",Black+golden | black+silver,SIMI,3.6 out of 5,I really like it | It usually takes time to open up a folder | Somehow good
124,"Tecno Spark 20, 6.6"", 256GB + 8GB RAM, 50MP Camera, 5000mAh, Blue (1YR WRTY)","KSh 19,299",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/58/8579831/1.jpg?9809,"Iconic Design6.56"" HD+ with 90Hz Refresh Rate256GB ROM, 8GB RAM50MP Ultra Clear Rear Camera32MP Glowing Selfie with Dual FlashHelio G85 Super Boost ProcessorDual Stereo Speakers5000mAh Super Battery+18W Fast ChargeAndroid 13",,Tecno,4.2 out of 5,Sleek  | Love it!
125,Oraimo Data Cable OCD-M53 2A 1M Black,KSh 135,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/121484/1.jpg?7388,Fast ChargingCore UpgradeSupport data transmissionHigh-quality material,,Oraimo,4.7 out of 5,Good product  | The best cable for data transfer and charging.good product.
126,"Infinix Hot 40i, 6.56"", 256GB + 8GB, 5000 mAh, 4G, Dual SIM - Starlit Black (1YR WRTY)","KSh 18,429",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/74/9995271/1.jpg?2586,"Size    6.56 inches, 103.4 cm2 (~83.6% screen-to-body ratio)OS    Android 13, XOS 13Memory: 256GB 8GB RAMSensors    Fingerprint (side-mounted), accelerometer, proximity, compass90Hz Super Fluid Punch-Hole Screen with Magic Ring50MP Dual AI Cam +32MP Crystal-Clear Selfie18W FastCharge +5000mAh Long-Lasting PowerSide-Mounted Fingerprint UnlockOcta-Core Chipset with XBOOST Gaming Engine200% Super Volume",,Infinix,5 out of 5,
127,"XIAOMI Redmi Note 12,6.67'',8GB+128GB, 50MP, Dual Sim, 33W Fast Charge-Ice Blue","KSh 21,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/83/5328361/1.jpg?2887,"CPU: Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55)Chipset: Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm)GPU: Adreno 619Screen: 6.67"" AMOLED Display，Camera:50MP + 8MP + 2MPBattery:5000mAh(typ) , 33W Fast ChargeSide-mounted fingerprint sensorMemory; 8/128GB Expandable up to 1TB",....,XIAOMI,4.6 out of 5,"It's good 
 | Great phone. Very fast delivery. I am happy. | A very nice phone just the way I wanted it and came in the way I ordered"
128,Oraimo FreePods 4 Active Noise Cancellation Easy Control APP Wireless Stereo Earbuds,"KSh 4,700",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/5030621/1.jpg?3078,Active Noise CancellationCustomize Your Listeningoraimo Signature Sound35.5-hour Long PlaytimeEffortless Control with APPGoogle Pop-up NotificationLow-latency Game Mode4-mic Noise Reduction in Calls5 EQ Modes and MoreTransparency Mode,,Oraimo,4.6 out of 5,"Better deals
 | I love them. Recommended anytime. Less than 24hour delivery | I WOULD PREFER THE FREEPODS 3. Terrible in making calls, the other person can barely hear you ."
129,"Samsung Galaxy A04e 32GB ROM 3GB RAM 6.5'' 5000mAh Battery - Black, 2YRs WRTY","KSh 11,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/6064321/1.jpg?2311,6.5'' displayAndroid 12Octa-core processor13MP Rear camera and 2MP front camera32GB ROM 3GB RAM5000mAh Battery,,Samsung,4.2 out of 5,Slow  | My mom likes it. She been using it for a month now.  | the phone was better than i expected/imagined
130,"XIAOMI  Redmi 12, 6.79'', 8GB RAM+ 256GB ROM, 50MP, 5000mAh, Dual Sim -MidNight Black","KSh 19,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/10/3251261/1.jpg?1415,"CPU: Media Tek Helio G88Screen: 6.79'' FHDMemory: 8GB RAM/256GB ROMBattery: 5000mAh, 18W Fast ChargingOperating System; MIUI 14 Based on Android 13Side FingerprintAI Face unlockCamera: 50MP+8MP+2MP Triple camera, 8MP Front Camera",....,XIAOMI,4.2 out of 5,"Performance  | This phone is not functioning as I have anticipated. The screen sometimes becomes unresponsive. It gets slow and fails to connect  to WiFi sometimes and right now it doesn't display contact names while calling, just the number.  | Poor camera and drains battery faster not recommended for the price "
131,SIMI Three In One Stylus Pen,KSh 99,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/59/1223421/1.jpg?6744,Not Available,stylus pen green,SIMI,4.3 out of 5,Works great  | So smooth | Keeps phone screen clean.... toggling very effective.
132,"Oppo A38,6.56"",6GB RAM+128GB ROM,50MP,5000mAh (Dual Sim) - Glowing Gold, (2YRs WRTY)","KSh 21,855",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/11/7991291/1.jpg?6127,"Size: 6.56""RAM: 6GBROM: 128GBMain camera: 50MP; f/1.8; FOV 75.5°; 5P lens; AF supportedFingerprint: Supported5000mAh/19.55Wh",,Oppo,2 out of 5,"Not original compared to the previous I had. 
"
133,Qwen Wireless Earbuds Bluetooth Headset With Mirror,KSh 829,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/97/4620621/1.jpg?1847,Fingerprint Smart touchSmart noise reductioHifi stereo soundDust  proof mechanismHigh en mirror digital displayPortable powerbank emergency charging,,Qwen,4.1 out of 5,"It's worth spending money on it
Has a good base and sound volume
Storage capacity it's perfect | Have good sound quality and keeps charge | Works well and it's power consumption is good"
134,"Tecno POP 8, 6.6"", 3GB RAM + 64GB, 13MP, 4G,Android 13,5000MAh - Gravity Black (1YR WRTY)","KSh 11,599",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/95/9869902/1.jpg?0912,"Display: 6.6"" 90Hz Hole ScreenMemory: 3GB RAM + 64GBProcessor: Octa-core Dimension: 163.86x75.51x8.9mmNetwork: 2G/3G/4GResolution: 720*1612Sensor: The ambient light and distance sensor, G-Sensor, Side-edge fingerprintCamera: 8MP Front Camera with Dual Flash, 13MP AI Rear Camera with Dual FlashConnectivity: GPS, Wifi, BT, FM, OTGBattery Capacity: Non Removable 5000mAh",,Tecno,3 out of 5,"Good stuff, I will give a comprehensive review after a month | Working perfectly "
135,RichRipple 6Inch LED Selfie Ring Light & Tripod Stand 2 Phone Holders,KSh 589,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/56/0183971/1.jpg?3925,"
1. Height-adjustable bracket with an adjustable range of 32-42cm ,have two mobile phone clips to meet your needs.

2. Elegant and stylish design,lightweight, protable, whether it is live broadcast, video chat or games, it is a good helper.

3. Easy to install and the intimate disc base design is very stable.

4. Mini body, high-quality LED ring light, fill light is simple to complete, let you keep beautiful at all times.
",,RichRipple,4.2 out of 5,"Its quite a good tool for a content creator designer like me. Its multi purpose I love it excuisitly | It is awesome it has enhanced my live performance  | Just fine it's ok I love it
Delivery on time and in good condition "
136,Oraimo Firefly 2U 12W 2.4A Dual USB Fast Charger Kit +Type-C Cable,KSh 630,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/44/1084651/1.jpg?7761,12W Fast ChargingPortable and Lightweight8-Layer Protection SystemGlossy and Sleek Case,,Oraimo,4.5 out of 5,Original Oraimo...delivered as advertised.
137,"Samsung Galaxy A15 5G, 6.5"", &nbsp;128GB + 4GB RAM (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 17,875",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/36/9753702/1.jpg?9088,Display: 6.5” FHD+ Super AMOLEDRAM: 4GBStorage: 128GBRear: 50MP+ 5MP + 2MPFront: 13MPProcessor: MTK MT6835VOperating System: AndroidBattery: 5000mAh,,Samsung,3.6 out of 5,"Be genuine | You said the Phone is 5G. This phone does not support 5G. | Delivered on time, in fact a day earlier"
138,"Infinix Smart 8, 6.6"", 64GB + 3GB RAM, 5000mAh, 4G, DUAL SIM - Shinny Gold (1YR WRTY)","KSh 11,154",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/1929361/1.jpg?1041,"DISPLAY 6.6 Inch 90Hz Punch-Hole DisplayMEMORY 64GB+3GB(Up to 8GB)OPERATING SYSTEM: AndroidTM T GoCAMERA Rear: 13MP+AI CAM, Front: 8MPPROCESSOR: Octa-Core Gaming ProcessorBATTERY CAPACITY 5000mAh (typ)NETWORK 4G/3G/2GCARD SLOT: Dual Nano SIM+Micro SD",,Infinix,4.4 out of 5,"Nice phone. | The phone is better than what I expected. I love the feel of it too. | Delivered on time and it's as described above.
I like it"
139,Qwen Selfie Stick Tripod With LED Light  Remote Controller For Mobile Phone,KSh 535,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/0393321/1.jpg?1908,"Longest size:70cmProduct material: ABS+Stainless steelPhoto mode: Horizontal +VerticalFill light mode: white light/ two gearAdditional Function:Fold, Rotatable, Desktop Stand, Remote ShutterWireless bluetooth remote cotrol: remote shooting 10cmMultiple usage mode:Tablet stand;desktop live;remote self-timerSmall and delicate:easy to carry",,Qwen,4 out of 5,"It's very weak | Didn’t know how to connect it to the phone. So I had to google for the product. So far, I love it and would recommend you to purchase it. In my opinion. | It should be a little long and stronger "
140,"XIAOMI Redmi Note 12 Pro, 6.67'', 6GB RAM +128GB (Dual SIM), Graphite Grey","KSh 24,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/8759361/1.jpg?8943,Screen: 6.67-Inch DisplaySIM: Dual SIMOS: Android 13Storage: 6GB RAM; 128GB ROMCamera: Rear Quad 108MP + 8MP + 5MP + 2MP camera Selfie: 16MP Front camera  ID: Infrared & FingerprintNetwork :  4G Band support Chipset: Snapdragon 732G ProcessorBattery: Non-removable Li-Po 5000mAh Battery,....,XIAOMI,4.9 out of 5,"Everything about it is awesome, camera, charging speed, refresh rate, and usage speed, highly recommended | The operating system is just super  | Performs really well, met my expectations."
141,"Tecno Camon 30, 6.78"", 256GB + 8GB (8GB RAM Extended) 4G (Dual SIM) - 5000mAh- Balistic Dark + TWS Earpods","KSh 30,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/41/8624212/1.jpg?1774,"Operating System: Android 14Processor: Helio G99 Ultimate Octa-Core6.78"" FHD+AMOLED 120HzFront: 50MP AF, Front Dual Colour Temperature FlashRear: 50MP + 2MP + Light Sensor, Dual Flash.256GB ROM8GB RAM +(8GB Extended)Infrared Remote Control5000mAh Battery Capacity45W Ultra Charge - Type-C",,Tecno,0 out of 5,
142,"Tecno Spark 20, 6.6"", 256GB + 8GB RAM (Dual SIM), 5000mAh, Cyber White (1YR WRTY)","KSh 19,299",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/99/2847091/1.jpg?7491,"Display size: 6.6"", 720 x 1612 PixelsDisplay type: IPS Screen, 16M ColorsOperating System: Android 13, HiOS 13Chipset: MediaTek Helio G85Camera resolution: 50MP F1.6 + AI LensFront camera resolution: 32MP F2.2Memory: 256GB + 8GB RAMBattery: 5000mAh, Li-Po",,Tecno,5 out of 5,"So far, I recommend Jumia for your electronics! Affordable, legit and reliable."
143,Itel ISW-O11 Waterproof Native Storm  Smart Watch,"KSh 1,600",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/00/6977512/1.jpg?5669,Voice AssistantPhone Call via bluetoothfree your handsno need to take out your mobile phoneNarrow Metal Bezel DesignFour menu stylesVoice AssistantPhone Call via bluetoothfree your handsno need to take out your mobile phoneNarrow Metal Bezel DesignFour menu styles,black,Itel,4.3 out of 5,It's a good product except it's step counter and pulse monitor are quite inaccurate
144,RichRipple 3-Cables Women 10000mAh Portable Power Bank,KSh 979,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/62/1259871/1.jpg?3953,"
Item Name: Power Bank with Makeup mirror

Capacity: 10000mAh

Input: DC 5V/2.1A DC5V/2A

Output: 5V/2.1A

Material:ABS Plastic

Input Interface:Micro USB,USB Type C

Output Interface:Micro USB,Lighting,USB-A,USB-Type C
",,RichRipple,5 out of 5,Thanks  looking forward to buying more  | Good smart .
145,"Infinix Smart 8, 6.6"", 64GB + 3GB RAM, 5000mAh, 4G, DUAL SIM - Timber Black (1YR WRTY)","KSh 11,154",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/73/1929361/1.jpg?1040,"DISPLAY 6.6 Inch 90Hz Punch-Hole DisplayMEMORY 64GB+3GB(Up to 8GB)OPERATING SYSTEM: AndroidTM T GoCAMERA Rear: 13MP+AI CAM, Front: 8MPPROCESSOR: Octa-Core Gaming ProcessorBATTERY CAPACITY 5000mAh (typ)NETWORK 4G/3G/2GCARD SLOT: Dual Nano SIM+Micro SD",,Infinix,4.3 out of 5,"Everything works well, camera and battery absolutely ????
The delivery guy was friendly ????
The delivery guy was friendly  | It's fine and your delivery is very timely ????  | It works perfectly. The qualities are as per the description upon purchase."
146,"XIAOMI Redmi Note 12 Pro 6.67'' 8GBRAM +128GB ROM, Dual SIM- Graphite Grey","KSh 25,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/27/3269361/1.jpg?9346,Screen: 6.67-Inch DisplaySIM: Dual SIMOS: Android 13Storage: 8GB RAM; 128GB ROMCamera: Rear Quad 108MP + 8MP + 5MP + 2MP camera Selfie: 16MP Front camera  ID: Infrared & FingerprintNetwork :  4G Band support Chipset: Snapdragon 732G ProcessorBattery: Non-removable Li-Po 5000mAh Battery,....,XIAOMI,4.6 out of 5,The phone is exactly which i wanted | I love the phone.
147,Qwen Wireless Earbuds Touch Earphones Control In-ear Bluetooth Heasdset,KSh 650,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/71/7249851/1.jpg?2549,Battery Indicator:LED DisplayBluetooth Version:V5.3Charging ports:Type-cSmart and lightSmart noise reduction,,Qwen,4.1 out of 5,"It's a quiet

 good gadget  | Stores battery  | Works well and what I expected "
148,"Oppo A57 2022, 4G,6.56"",4+64GB, (Dual Sim) 5000mAh - Glowing Black (2YRs WRTY)","KSh 13,823",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/074317/1.jpg?7804,Size: 6.56'' Colour-Rich DisplayRAM: 4 GBROM: 64 GBMain camera: 13MP5000mAh Long-Lasting Battery33W SUPERVOOCOPPO Glow DesignUltra-Linear Stereo SpeakerUp to 1TB of Extra Storage,,Oppo,5 out of 5,Superb
149,C Idea 8 Inch Tablet  Android 12 Portable Light  Sim 256GB Adult  Tablet With Case Red,"KSh 7,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/65/3995061/1.jpg?1140,"【Attractive Appearance】Satisfy your love for looks. Suitable for daily outing use and also suitable as a gift for friends or relatives【Local After-sales Support】After sales guarantee, if the tablet is found to be defective,please contact us at anytime,we promise 100% satisfactory solution for you.【5MP+8MP Dual Cameras】C idea Tablet is equipped with 5MP+8MP dual cameras.You can use it to record moments in your life. At the same time, you can also use the front camera for video conferences such as zoom【Long Battry Life】Extend your joy with extended battery life.Tablets has enough battery to enjoy reading, browsing the web, watching videos, and listening to music at home and on-the-go【High-performance tablet】Equipped with 6GB RAM, 256GB ROM, this tablet comes with a crisp 5MP front-facing camera and 8MPrear-facing camera, WiFi, GPS, Bluetooth, FM radio for online learning and video calling. More features for fun and productivity on the go. Lightweight, very easy to hold and easy to carry around in your pocket, pouch, etc.【Ideal Choice For Gift & Rest Assured】A perfect choice with this tablet for birthday ,souvenir and bar mitzvahs. after sales guarantee,if the tablet is found to be defective, we promise 100% satisfactory solution for you.【Ideal gift option】Package includes 1x Android tablet, 1x protective case, 1x screen protector, 1x Type C cable, 1x charger. High performance, stylish and advanced appearance, this tablet is the best choice for parents, friends and kids. Such as Father's Day gift, Mother's Day, Valentine's Day, Birthday and Christmas",Red,C Idea,3.2 out of 5,I don't know but it was not good  | I really like the packaging and accessories added to it are worth it. Worth every cent.Thank you C idea ????????????
150,Qwen 64Gb Memory Card High Speed For Mobile Phone,KSh 689,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/95/4482861/1.jpg?3864,"High speed and high performanceQuickly transfer your multimedia transfer speedTransfer speed: read speed up to 22MB/s, write speed: 10-15MB/s. Full HD video recording, high-resolution photos, music storage and other excellent speed and performance.Capacity: Super large 64GB capacity eliminates the trouble of insufficient memory.Notice:Actual capacity：59G",64Gb,Qwen,4.3 out of 5,"Good product | The sd card did not work at all. I tried to return it, I actually left it at the pickup station. | It's working well 
No problems at all 
It's fast in terms of data writing and reading"
151,Poco M4 Pro 6GB + 128GB 64MP 5000mAh 4G NFC Smartphone - Cool Blue,"KSh 24,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/898646/1.jpg?7788,"Display:
6.6''Android 11Dual Rear
Camera: 64MP+ 8MP +2MPSelfie Camera: 16MPStorage: 6GB +128GBBattery Capacity: 5000 MAH non removable
batterySensors: Fingerprint (side-mounted),
accelerometer, gyro, proximity, compassFast charging 33WUSB: Type C3.5mm jack, Bluetooth 5.1, Supports NFC, Supports FM radio ,Has infrared.",,Poco,4.6 out of 5,"Quality cameras | Fast delivery powerul phone | For the price its perfect, you get an 1080p 90hz OLED Display with up to 700 nits of brightness and corning gorilla class 3 protection, Great performance and Very Strong reliability.  l love the phone and for the price l find it well stacked. and it comes with a charger too something very rare this days with newer smartphones."
152,Oraimo 3 In 1 Cable Durable Micro OCD-X93,KSh 750,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/54/1144651/1.jpg?0499,Fast ChargingCore UpgradeSupport data transmissionHigh-quality material,,Oraimo,4.8 out of 5,doubles as a data cable too | Absolutely good cable
153,Vivo Y03 - 6.56'' - 4GB RAM + 64GB ROM - Dual SIM - 5000mAh - Space Black (2YRs WRTY),"KSh 12,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/8966512/1.jpg?8996,"Color: Space Black, Gem GreenIngress Protection Rating: IP54",Space Black,Vivo,4 out of 5,"It's good 
Do you have full case of Nokia 2.4 phone"
154,"Tecno CAMON 20, 6.67"", 256GB + 8GB RAM (Dual SIM), 4G LTE, 5000mAh, Serenity Blue","KSh 23,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/51/4346331/1.jpg?6853,"AMOLED with Fingerprint on Display (6.67"")G85 Octa-Core Processor256GB ROM + 8GB RAM ( can be extended to 16GB)Front Camera: 32MPRear Camera: 64MP /2MP/ AI CAM/ Quad Flash(Ring-Flash)5000mAh Super Battery 33W Fast ChargeAndroid13 +Resolution-1080*2400",,Tecno,4.3 out of 5,Camera is poor and very slow | Phone is as described. awesome | It's very good and has a good camera 
155,Vivo Y03 - 6.56'' - 4GB RAM + 64GB ROM - Dual SIM - 5000mAh - Gem Green (2YRs WRTY),"KSh 12,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/76/4966512/1.jpg?9061,"Color: Space Black, Gem GreenIngress Protection Rating: IP54",Gem Green,Vivo,0 out of 5,
156,"XIAOMI Redmi Note 12, 6.67'' , 8GB+128GB, 50MP, Dual Sim, 33W Fast Charge-Mint Green","KSh 21,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/2418361/1.jpg?3031,"CPU: Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55)Chipset: Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm)GPU: Adreno 619Screen: 6.67"" AMOLED Display，Camera:50MP + 8MP + 2MPBattery:5000mAh(typ) , 33W Fast ChargeSide-mounted fingerprint sensorMemory; 8/128GB Expandable up to 1TB",....,XIAOMI,4 out of 5,
157,Oraimo Micro USB Data Cable 2M For V8 Charger,KSh 197,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/40/121484/1.jpg?7388,2A Fast charging2 metres ultra long480Mbps Hi-speed syncingHeat resistanceSR Reinforced jointSkin friendly brushed exterior,,Oraimo,4.9 out of 5,the best
158,"C Idea 8 Inches Reading Android 13 WiFi Tablet Touch Screen,8MP Rear Cameras,5000mAh","KSh 7,499",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/83/2836061/1.jpg?1584,"【Portable 8 Inches Tablet For Reading】CM825 tablet comes with 8 inch LCD screen.It's just the right size whether you're using it at home or on the go. You don't have to worry about it being too big to carry.The resolution of this IPS HD screen is 800*1280. It can bring you a wider field of view.【Lastest Android System】Our smart Android tablet is equipped with Android 13 system. The powerful processor makes the apps run faster and smoother, offering you a quick and fluent experience of entertainment. And this Google tablet is equipped with 32GB ROM, supports 64G capacity expansion.【Eye Protection Screen Protector】We have a matching anti-blue light protective film as a gift. This can greatly reduce the intensity of blue light and reduce eye fatigue.【Long Battery Life】Powered by a 5000mAh battery, the 8” tablet can play video for up to 4 hours. Easily charge via the USB Type-C port and rest assured the battery will last. Video chat or snap selfies on the front camera, or record your day on the rear camera.【Just Want A Tablet】You may not need a tablet so much, you just want to take a look. But you can buy one now. The reason is firstly it's cheap now and secondly you don't have to worry about not having it when you need it【VALUE TABLET FOR BIG KIDS】:Android 13 tablet pass GMS certifited that parents can add access to app that kids requested and using time,and even set up youth mode to filter out inappropriate sites and let you block specific ones.",,C Idea,5 out of 5,
159,Oraimo Rover RGB Lights Bluetooth 5.3 Portable IPX5 Wireless Speaker,"KSh 4,200",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/60/7941651/1.jpg?7803,16.8 Million Pixel RGB Lights50mm (x2) Customized Drivers 66mm (x2) Bass RadiatorsHavyBass™ Bluetooth 5.3Hand-held Design IPX5 WaterproofFM Radio,,Oraimo,4.7 out of 5,"The speaker is working well , Fm radio is good with a good signal"
160,Intex Happy Kitten Arm Bands Multicolor Age-18 Months & Above,KSh 499,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/2549041/1.jpg?7242,"Inflatable sleeves are made of high-strength vinyl. Each sleeve consists of two independent chambers, which ensures increased safety of the child on the water. First inflate, and then put on your hand. For those who have not yet learned to swim, sleeves will help to stay on the water. The bright color attracts children and uplifts the mood. Approximate inflated size: 8ft 2in x 6ft 3in x 3ft 7in.Product Dimensions: 20 x 15 cm",,Intex,5 out of 5,
161,Miniso Ocean Series 3.0 9in. Light Blue Octopus Plush Toy,"KSh 2,005",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/96/5123701/1.jpg?7106,High QualityAffordableEasy to useExcellent product,,Miniso,0 out of 5,
162,Miniso 12.6in. Plush Doll - Loose Hair Mermaid,"KSh 2,005",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/7129841/1.jpg?1146,High QualityAffordableEasy to useDurable,,Miniso,0 out of 5,
163,TK HOCKEY STICK TK3 CONTROL BOW,"KSh 7,200",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/93/7884221/1.jpg?8185,"Featuring
  a sweeping profile, it is designed to offer all round assistance to a
  360-degree skill set. Perfect for those players looking for an
  all-rounder.Bow Peak: 24mmBow Position: 235mm","30""",TK,0 out of 5,
164,TK HOCKEY STICK TK3 CONTROL BOW,"KSh 7,200",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/45/4984221/1.jpg?8399,"Featuring
  a sweeping profile, it is designed to offer all round assistance to a
  360-degree skill set. Perfect for those players looking for an
  all-rounder.Bow Peak: 24mmBow Position: 235mm","30""",TK,0 out of 5,
165,Miniso Pajamas Pig Series Plush Toy - Milk Feeder Bottle,"KSh 1,533",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/60/7129841/1.jpg?1147,High QualityAffordableEasy to useDurable,,Miniso,0 out of 5,
166,Joerex Snake Skateboard (flexible) With Bag,"KSh 4,600",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/76/300633/1.jpg?3490,"Polypropylene +
  flash PU wheel Skate board with a bagEnough space for 1 foot rideBalanced wheels alignmentProvides comfortable ride",,Joerex,0 out of 5,
167,TK HOCKEY STICK TK3 CONTROL BOW,"KSh 7,200",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/95/1984221/1.jpg?8315,"Ideal
  for field practice, these balls are hollow and are pocket friendly","26""",TK,0 out of 5,
168,Miniso Winnie-the-Pooh Collection Sitting Holding Biscuits Plush Toy,"KSh 2,241",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/87/6129841/1.jpg?1148,High QualityAffordableEasy to useDurable,,Miniso,0 out of 5,
